total_sqft,bath,bhk,balcony,garage_sqft,price
1755,2,3,2,220,122
665,2,1,1,84,50.75
2465,2,3,2,309,234
1245,2,2,1,156,86.28
660,2,1,1,83,54
665,2,1,1,84,46.08
660,2,1,1,83,62
1365,2,2,1,171,122
2940,2,4,2,368,280
1795,2,3,2,225,139
1740,2,3,2,218,150
1970,2,3,2,247,164
1516,2,3,2,190,147
1180,2,3,2,148,48
1075,2,3,2,135,46
1075,2,3,2,135,45
845,2,2,1,106,33
1075,2,3,2,135,45
845,2,2,1,106,37
845,2,2,1,106,29
1075,2,3,2,135,47
850,2,2,1,107,32
1075,2,3,2,135,50
1075,2,3,2,135,52
1180,2,3,2,148,46
1075,2,3,2,135,42
845,2,2,1,106,37
1075,2,3,2,135,43
700,2,2,1,88,32
1075,2,3,2,135,52
1075,2,3,2,135,50
845,2,2,1,106,33
945,2,2,1,119,33
845,2,2,1,106,30
1075,2,3,2,135,43
1080,2,3,2,135,45
1180,2,3,2,148,55.5
1075,2,3,2,135,47
1075,2,3,2,135,48
1075,2,3,2,135,45
1075,2,3,2,135,44
850,2,2,1,107,27
1075,2,3,2,135,42
845,2,2,1,106,32
845,2,2,1,106,34
3000,2,8,4,375,140
520,2,1,1,65,19.5
515,2,1,1,65,25
1090,2,2,1,137,44
1850,2,3,2,232,90
910,2,2,1,114,45
1050,2,2,1,132,46
1100,2,2,1,138,55
1350,2,2,1,169,72
2100,2,4,2,263,85
1307,2,2,1,164,50
1091,2,2,1,137,40
1160,2,2,1,145,53
1050,2,2,1,132,54
1260,2,3,2,158,49.36
1200,2,3,2,150,46
1035,2,2,1,130,41
1035,2,2,1,130,41.73
1034,2,2,1,130,40
877,2,2,1,110,30
920,2,2,1,115,37.46
1035,2,2,1,130,41.43
1295,2,3,2,162,50.28
1015,2,2,1,127,40
1000,2,2,1,125,35
955,2,2,1,120,35.28
1005,2,2,1,126,39.77
1014,2,2,1,127,35
1020,2,2,1,128,40.89
920,2,2,1,115,37.2
800,2,2,1,100,32
1280,2,3,2,160,50
1942,2,3,2,243,90
1127,2,2,1,141,45
877,2,2,1,110,29
1365,2,3,2,171,52.81
842,2,2,1,106,30
1260,2,3,2,158,49.36
1365,2,3,2,171,52.82
955,2,2,1,120,37.97
1089,2,2,1,137,40
1365,2,3,2,171,53.96
1090,2,2,1,137,31.48
1400,2,3,2,175,40.44
1320,2,3,2,165,38.13
1020,2,2,1,128,29.45
1165,2,2,1,146,33.64
1090,2,2,1,137,31.48
1000,2,2,1,125,28.88
1020,2,2,1,128,29.45
1160,2,2,1,145,33.51
1125,2,2,1,141,32.49
1125,2,2,1,141,32.49
1130,2,2,1,142,32.64
1065,2,2,1,134,30.75
1200,2,3,2,150,125
1632,2,4,2,204,145
1670,2,4,2,209,135
1680,2,4,2,210,135
1632,2,4,2,204,128
3339,2,3,2,418,250
1355,2,4,2,170,135
1232,2,3,2,154,96
1632,2,4,2,204,140
1150,2,2,1,144,69
1142,2,2,1,143,70
2800,2,4,2,350,240
1476,2,3,2,185,105
1700,2,4,2,213,152
1262,2,2,1,158,75
1139,2,2,1,143,80
1125,2,2,1,141,70
1420,2,3,2,178,85
941,2,2,1,118,48
1100,2,2,1,138,55
2400,2,4,2,300,140
1225,2,2,1,154,66.5
1950,2,5,3,244,175
1080,2,2,1,135,50
1230,2,2,1,154,55
1200,2,2,1,150,75
1089,2,2,1,137,49
1130,2,2,1,142,56
1270,2,2,1,159,95
1706,2,3,2,214,115
1389,2,2,1,174,94
1225,2,2,1,154,72
1746,2,3,2,219,115
1560,2,4,2,195,149
1382,2,2,1,173,84.5
1260,2,2,1,158,70
1206,2,2,1,151,90
1594,2,3,2,200,140
1153,2,2,1,145,56.4
1162,2,2,1,146,59.9
1991,2,3,2,249,103
1153,2,2,1,145,57
1162,2,2,1,146,57
1139,2,2,1,143,62
1139,2,2,1,143,56.8
1139,2,2,1,143,56.85
664,2,1,1,83,35
1820,2,3,2,228,93
1636,2,3,2,205,85
1444,2,2,1,181,70
1139,2,2,1,143,60
1820,2,3,2,228,93
1162,2,2,1,146,58
1636,2,3,2,205,85
1636,2,3,2,205,92
1087,2,2,1,136,54.3
1149,2,2,1,144,65
664,2,1,1,83,35.4
1153,2,2,1,145,56.7
1139,2,2,1,143,56.5
1636,2,3,2,205,83
664,2,1,1,83,34
1162,2,2,1,146,58
1153,2,2,1,145,60
1820,2,3,2,228,99
1172,2,2,1,147,56.725
1820,2,3,2,228,95
1820,2,3,2,228,95.5
1153,2,2,1,145,56
705,2,1,1,89,34.545
1153,2,2,1,145,56.5
1153,2,2,1,145,58
1636,2,3,2,205,88
1153,2,2,1,145,56.55
1153,2,2,1,145,56.5
1153,2,2,1,145,60
1120,2,2,1,140,55
1070,2,2,1,134,55
740,2,2,1,93,37
1028,2,2,1,129,49
1392,2,2,1,174,98
1070,2,2,1,134,47.5
1825,2,3,2,229,126
1025,2,2,1,129,50
1198,2,2,1,150,60
1560,2,2,1,195,85
1590,2,3,2,199,85
1100,2,2,1,138,58
1051,2,2,1,132,61
1020,2,2,1,128,55
1285,2,2,1,161,65
1040,2,2,1,130,50
1392,2,2,1,174,95
705,2,1,1,89,50
1125,2,2,1,141,46
1400,2,3,2,175,78
1400,2,3,2,175,78
907,2,2,1,114,38
1310,2,2,1,164,62
1475,2,3,2,185,120
1900,2,4,2,238,170
1350,2,2,1,169,180
1050,2,2,1,132,162
1660.4,2,4,2,208,211
505,2,1,1,64,85
1565,2,3,2,196,98.91
730,2,2,1,92,52
650,2,2,1,82,40
650,2,2,1,82,45
1650,2,3,2,207,115
650,2,2,1,82,17
645,2,1,1,81,16.45
645,2,1,1,81,16.45
1015,2,2,1,127,25.88
530,2,1,1,67,11.66
1208,2,3,2,151,45
1200,2,2,1,150,32
1025,2,2,1,129,27.68
582.5,2,1,1,73,15.135
1015,2,2,1,127,25.88
1065,2,3,2,134,33
850,2,2,1,107,25.4
590,2,1,1,74,13.57
645,2,1,1,81,16.45
630,2,1,1,79,13.86
1015,2,2,1,127,25.88
1107,2,3,2,139,43
520,2,1,1,65,14.04
1200,2,2,1,150,36
975,2,2,1,122,24.86
645,2,1,1,81,16.45
985,2,2,1,124,25.12
645,2,1,1,81,16.45
975,2,2,1,122,24.86
700,2,2,1,88,19
1095,2,3,2,137,32
1891,2,4,2,237,66.165
1208.51,2,3,2,152,42
876,2,2,1,110,29.5
645,2,1,1,81,16.45
645,2,1,1,81,16.45
937,2,2,1,118,30
1025,2,2,1,129,27.68
975,2,2,1,122,24.86
800,2,2,1,100,25
645,2,1,1,81,16.45
778,2,2,1,98,25.29
950,2,2,1,119,25.65
1200,2,2,1,150,36
645,2,1,1,81,16.45
922,2,2,1,116,36
674,2,2,1,85,19.9
985,2,2,1,124,25.12
1025,2,2,1,129,27.68
1015,2,2,1,127,25.88
1345,2,3,2,169,39.5
1033,2,3,2,130,30.47
971,2,3,2,122,38
1015,2,2,1,127,25.88
800,2,2,1,100,30
900,2,2,1,113,35
975,2,2,1,122,24.86
520,2,1,1,65,14.04
1323,2,3,2,166,42
410,2,1,1,52,10
985,2,2,1,124,25.12
645,2,1,1,81,16.45
645,2,1,1,81,16.45
1200,2,2,1,150,36
740,2,2,1,93,22
876,2,2,1,110,28.47
520,2,1,1,65,14.04
1009,2,2,1,127,38.34
1065,2,2,1,134,35
1470,2,3,2,184,90
1115,2,2,1,140,33.45
1030,2,2,1,129,34.5
4200,2,6,3,525,180
1115,2,2,1,140,40
1200,2,3,2,150,67.77
1104,2,2,1,138,35.5
1160,2,2,1,145,55
1050,2,2,1,132,41
1065,2,2,1,134,40.47
1070,2,2,1,134,38
1050,2,2,1,132,35
1093,2,2,1,137,34
808,2,2,1,101,40
1010,2,2,1,127,36
1123,2,2,1,141,36
1000,2,2,1,125,35
1500,2,4,2,188,89.45
1330,2,3,2,167,51.83
1093,2,2,1,137,37
1115,2,2,1,140,35.8
1500,2,3,2,188,61.95
830,2,2,1,104,36.28
1200,2,3,2,150,67.77
1195,2,3,2,150,56
1175,2,2,1,147,38
1200,2,2,1,150,46.13
1065,2,2,1,134,36
1050,2,2,1,132,44.41
1010,2,2,1,127,32
2600,2,4,2,325,120
2325,2,4,2,291,120
1808,2,3,2,226,80.27
3297,2,3,2,413,135
3500,2,4,2,438,150
2646,2,3,2,331,99
2704,2,4,2,338,105
2325,2,3,2,291,95
2325,2,4,2,291,120
3250,2,4,2,407,136
2665,2,4,2,334,125
950,2,2,1,119,40
1600,2,3,2,200,80
600,2,2,1,75,25
2460,2,4,2,308,80
2400,2,5,3,300,97
2000,2,5,3,250,65
1067,2,2,1,134,38
1320,2,3,2,165,46
4000,2,8,4,500,110
1100,2,2,1,138,50
1208,2,2,1,151,49
875,2,2,1,110,52.8
1800,2,2,1,225,128
1070,2,2,1,134,50
1230,2,2,1,154,48
1428,2,3,2,179,80
1070,2,2,1,134,42.8
1075,2,2,1,135,46.76
1070,2,2,1,134,45.48
1100,2,2,1,138,50
1224,2,2,1,153,45
1090,2,2,1,137,47.42
1325,2,2,1,166,59
1290,2,2,1,162,72
1115,2,2,1,140,50
1300,2,2,1,163,57
1530,2,3,2,192,77
1197,2,2,1,150,63
1465,2,3,2,184,75
1115,2,2,1,140,50
1215,2,2,1,152,59
1254,2,3,2,157,65
1580,2,3,2,198,105
725,2,2,1,91,36
2429,2,4,2,304,210
1075,2,2,1,135,45
1180,2,2,1,148,71.22
1140,2,2,1,143,62
1560,2,3,2,195,78
1065,2,2,1,134,46
1115,2,2,1,140,50
1115,2,2,1,140,50
3950,2,4,2,494,450
2388,2,3,2,299,239
1710,2,2,1,214,200
1310,2,2,1,164,111
3900,2,4,2,488,415
2560,2,3,2,320,310
2600,2,3,2,325,375
1100,2,2,1,138,90
2300,2,3,2,288,250
1975,2,3,2,247,150
1650,2,3,2,207,100
1730,2,3,2,217,140
1600,2,3,2,200,150
1250,2,2,1,157,95
1280,2,2,1,160,120
1073,2,2,1,135,72
1000,2,2,1,125,58
1200,2,2,1,150,140
5270,2,4,2,659,1250
3875,2,3,2,485,864
3875,2,3,2,485,800
3815,2,3,2,477,763
2880,2,3,2,360,501
3489,2,3,2,437,662
4170,2,3,2,522,800
2700,2,3,2,338,501
7500,2,4,2,938,1800
2880,2,3,2,360,560
708,2,2,1,89,37
708,2,2,1,89,40
965,2,2,1,121,42.5
814,2,2,1,102,42
1163,2,2,1,146,65
1286,2,3,2,161,68
708,2,2,1,89,31.15
708,2,1,1,89,41
814,2,2,1,102,43.7
1295,2,2,1,162,65
1150,2,2,1,144,70
2100,2,3,2,263,120
1220,2,2,1,153,52
1375,2,2,1,172,60
1333,2,2,1,167,78.56
1220,2,2,1,153,62
3210,2,4,2,402,192
1260,2,2,1,158,66.78
1282,2,3,2,161,68.52
1360,2,2,1,170,65
1408,2,2,1,176,85
1010,2,2,1,127,51
1080,2,2,1,135,53.35
2400,2,5,3,300,100
1174,2,2,1,147,59
3752.5,2,2,1,470,177.115
658,2,1,1,83,34
658,2,1,1,83,26.91
698.5,2,1,1,88,28.57
1080,2,2,1,135,52
1700,2,3,2,213,88.2
1498,2,3,2,188,79.15
1466,2,3,2,184,77.59
775,2,1,1,97,39
1020,2,1,1,128,49.87
1550,2,3,2,194,85
1340,2,2,1,168,65
2125,2,3,2,266,107
658,2,1,1,83,26.91
1010,2,2,1,127,58
1075,2,1,1,135,52.57
1250,2,2,1,157,40
1200,2,2,1,150,83
1170,2,2,1,147,40
615,2,1,1,77,24
1230,2,2,1,154,58
1425,2,3,2,179,65
947,2,2,1,119,43
1130,2,2,1,142,36
1417,2,3,2,178,76
1230,2,2,1,154,58
1705,2,3,2,214,75
1116,2,2,1,140,47
991,2,2,1,124,40
1260,2,2,1,158,55
850,2,2,1,107,28
1390,2,2,1,174,60
1804,2,3,2,226,121
1080,2,2,1,135,50
1999,2,3,2,250,132
1100,2,2,1,138,48
1999,2,3,2,250,135
1100,2,2,1,138,41.15
1252,2,3,2,157,71
1155,2,2,1,145,46
1128,2,2,1,141,45
1148,2,2,1,144,56
1145,2,2,1,144,46.5
1829,2,3,2,229,125
1100,2,2,1,138,41.16
1100,2,2,1,138,46.75
1315,2,2,1,165,50
1135,2,2,1,142,58
1100,2,2,1,138,41.18
1370,2,2,1,172,60
1200,2,2,1,150,71
1585,2,3,2,199,79
1005,2,2,1,126,45
1264,2,2,1,158,52
1690,2,4,2,212,80
4200,2,4,2,525,325
3876,2,3,2,485,300
2776,2,3,2,347,195
2440,2,3,2,305,142
2400,2,4,2,300,200
654,2,1,1,82,49
3206,2,4,2,401,270
1010,2,2,1,127,40.39
1010,2,2,1,127,40.39
1072,2,2,1,134,42.87
1010,2,2,1,127,40.4
1010,2,2,1,127,41
1072,2,2,1,134,42.87
970,2,2,1,122,33
1050,2,2,1,132,32
850,2,2,1,107,25
1030,2,2,1,129,42
1549,2,3,2,194,65
550,2,1,1,69,17
1015,2,2,1,127,33.5
1104,2,2,1,138,39
915,2,2,1,115,32
750,2,1,1,94,25.5
1595,2,3,2,200,62
855,2,2,1,107,32
1105,2,2,1,139,50
925,2,2,1,116,30
1208,2,3,2,151,45
1100,2,2,1,138,50
940,2,2,1,118,32.9
1382,2,3,2,173,65
1107,2,2,1,139,44
907,2,2,1,114,40
1783,2,3,2,223,85
550,2,1,1,69,17
1540,2,3,2,193,90
1875,2,3,2,235,150
1429,2,3,2,179,86
640,2,1,1,80,55
1050,2,2,1,132,85
1800,2,3,2,225,150
1720,2,3,2,215,135
1950,2,3,2,244,165
2180,2,3,2,273,285
650,2,1,1,82,70
780,2,1,1,98,70
2180,2,3,2,273,285
1740,2,3,2,218,120
1695,2,3,2,212,125
1246,2,2,1,156,95
2100,2,3,2,263,145
1276,2,2,1,160,80
1850,2,3,2,232,180
2955,2,3,2,370,235
1650,2,3,2,207,180
805,2,2,1,101,22.14
1267,2,3,2,159,56
1200,2,2,1,150,50
2700,2,4,2,338,68
1153,2,2,1,145,43.5
1500,2,2,1,188,40
1090,2,2,1,137,43.5
850,2,2,1,107,25.4
674,2,2,1,85,19.9
999,2,2,1,125,32.9
1499,2,3,2,188,102
1285,2,2,1,161,82
2330,2,3,2,292,162
1330,2,2,1,167,92.5
1330,2,2,1,167,86.98
1330,2,2,1,167,93.36
1500,2,3,2,188,102
1280,2,2,1,160,69
1125,2,2,1,141,65
1734,2,3,2,217,125
1343,2,2,1,168,86
2350,2,3,2,294,163
1860,2,3,2,233,130
2210,2,3,2,277,165
2710,2,3,2,339,177
1025,2,3,2,129,47
1500,2,3,2,188,64.5
1060,2,2,1,133,60
1152,2,2,1,144,64.5
770,2,2,1,97,36
1070,2,2,1,134,52
1025,2,2,1,129,46
589,2,1,1,74,27
910,2,2,1,114,40
1108,2,2,1,139,63
1128,2,2,1,141,65
1800,2,3,2,225,95
630,2,1,1,79,34.65
1128,2,2,1,141,63
1599,2,3,2,200,99
1070,2,2,1,134,55
940,2,2,1,118,41
1128,2,2,1,141,68.75
1342,2,2,1,168,73.3
1360,2,3,2,170,71
1265,2,2,1,159,56.93
1691,2,3,2,212,102
1128,2,2,1,141,65.49
1070,2,2,1,134,56.1
2000,2,4,2,250,120
890,2,2,1,112,45
1128,2,2,1,141,65.65
865,2,2,1,109,42
910,2,2,1,114,42
1360,2,3,2,170,75
770,2,2,1,97,40
1128,2,2,1,141,64
1070,2,2,1,134,54
1571,2,3,2,197,89
1111,2,3,2,139,50
870,2,2,1,109,39.5
1374,2,3,2,172,72
1128,2,2,1,141,65.35
1128,2,2,1,141,65
755,2,2,1,95,34
1563,2,3,2,196,91.84
1652,2,3,2,207,70
1025,2,2,1,129,54.5
1350,2,3,2,169,58
1700,2,3,2,213,75
1128,2,2,1,141,68
700,2,1,1,88,35
1360,2,3,2,170,70.5
1571,2,3,2,197,105
1600,2,3,2,200,104
1500,2,3,2,188,100
1152,2,2,1,144,65
1070,2,2,1,134,60
1128,2,2,1,141,65.5
1200,2,2,1,150,59
1152,2,2,1,144,65.75
1070,2,2,1,134,55
1060,2,2,1,133,58
1025,2,2,1,129,54.1
1500,2,3,2,188,78
1213,2,2,1,152,59.32
1575,2,3,2,197,90
435,2,1,1,55,19.5
1449,2,3,2,182,100
1125,2,2,1,141,58
1575,2,3,2,197,101
550,2,1,1,69,12
919,2,2,1,115,40
1500,2,3,2,188,78.25
1363,2,2,1,171,79
1108,2,2,1,139,67.15
1128,2,2,1,141,65.7
1060,2,2,1,133,51
1650,2,3,2,207,100
1025,2,2,1,129,49
1449,2,3,2,182,90
1070,2,2,1,134,58
1210,2,2,1,152,54
1500,2,3,2,188,75
1070,2,2,1,134,52
2435,2,4,2,305,119
1073,2,2,1,135,60
1500,2,3,2,188,78
1070,2,2,1,134,47
1296,2,2,1,162,65
1140,2,2,1,143,70.93
2093,2,4,2,262,104
1025,2,2,1,129,53.9
940,2,2,1,118,54
435,2,1,1,55,21
1500,2,3,2,188,77.5
1631,2,3,2,204,80
1355,2,2,1,170,67
435,2,1,1,55,22
1039,2,2,1,130,50
770,2,2,1,97,39.9
1128,2,2,1,141,64
605,2,1,1,76,13.31
530,2,1,1,67,13.5
1070,2,2,1,134,53
1571,2,3,2,197,83
1350,2,3,2,169,66
1652,2,3,2,207,110
1128,2,2,1,141,65.58
635,2,1,1,80,28
1128,2,2,1,141,65.4
1355,2,2,1,170,72.9
770,2,2,1,97,35
865,2,2,1,109,40
1108,2,2,1,139,63
630,2,1,1,79,40.5
605,2,1,1,76,22
1070,2,2,1,134,48
1360,2,3,2,170,70
635,2,1,1,80,28
1128,2,2,1,141,65.45
890,2,2,1,112,40
1360,2,3,2,170,58
630,2,1,1,79,33.7
1400,2,3,2,175,90
1287,2,3,2,161,55
1258,2,2,1,158,85.5
1386,2,2,1,174,85
550,2,1,1,69,27
1025,2,2,1,129,50
1070,2,2,1,134,55
1342,2,2,1,168,72
1275,2,3,2,160,70
770,2,2,1,97,38
1644,2,3,2,206,92.59
1250,2,2,1,157,62
418,2,1,1,53,12
1128,2,2,1,141,64.8
1060,2,2,1,133,55
710,2,1,1,89,40.42
1275,2,3,2,160,63.43
1518,2,3,2,190,75
1090,2,1,1,137,31.48
1060,2,2,1,133,55
1353,2,2,1,170,75
1128,2,2,1,141,67
1070,2,2,1,134,57
1700,2,3,2,213,90
750,2,1,1,94,35
1210,2,2,1,152,55
1070,2,2,1,134,60
1615,2,3,2,202,97
1221,2,2,1,153,68
1500,2,3,2,188,73
995,2,2,1,125,48
1342,2,2,1,168,90
1128,2,2,1,141,63.5
589,2,1,1,74,29
1575,2,3,2,197,94.5
1070,2,2,1,134,48
1025,2,2,1,129,54
1500,2,3,2,188,70
1500,2,3,2,188,64.5
2093,2,4,2,262,134
1355,2,2,1,170,73
1360,2,3,2,170,64.99
1060,2,2,1,133,52
1056,2,2,1,132,39.07
1020,2,2,1,128,30.6
1069,2,2,1,134,45
630,2,1,1,79,28.35
1000,2,2,1,125,25
1090,2,2,1,137,28.34
2225,2,4,2,279,98.88
775,2,2,1,97,38
1266,2,2,1,159,59
1000,2,2,1,125,28.88
972,2,2,1,122,44
1031,2,2,1,129,55
1003,2,2,1,126,40.6
1031,2,2,1,129,56.35
1395,2,3,2,175,62.78
1160,2,2,1,145,33.5
1065,2,2,1,134,30.75
1219,2,2,1,153,61.25
1000,2,2,1,125,28.88
1790,2,3,2,224,100
769,2,2,1,97,40
900,2,2,1,113,32.5
993,2,3,2,125,50
1418,2,3,2,178,52.47
1070,2,2,1,134,45
1140,2,2,1,143,33.06
1089,2,2,1,137,32.67
1031,2,2,1,129,55
1253,2,2,1,157,65.8
1160,2,2,1,145,33.5
975,2,3,2,122,45
6000,2,4,2,750,260
1116,2,2,1,140,37
1125,2,2,1,141,29.25
1000,2,2,1,125,28.88
1000,2,2,1,125,28.88
1000,2,2,1,125,28.88
1165,2,2,1,146,30.29
3550,2,4,2,444,167.5
1031,2,2,1,129,53
1065,2,2,1,134,30.88
1549,2,3,2,194,80
1065,2,2,1,134,56.13
920,2,2,1,115,26
1140,2,2,1,143,33.84
1219,2,2,1,153,61.26
1252,2,3,2,157,65
1125,2,2,1,141,32.49
1286,2,2,1,161,69
1140,2,2,1,143,32.92
1116,2,2,1,140,40
1150,2,3,2,144,46
1192,2,3,2,149,47
1020,2,2,1,128,32
1900,2,4,2,238,97
1020,2,2,1,128,27.43
1025,2,2,1,129,26.65
1020,2,2,1,128,29.45
1000,2,2,1,125,28.88
1140,2,2,1,143,28.5
1125,2,2,1,141,32.49
1200,2,2,1,150,34.65
1160,2,2,1,145,52.2
1244,2,2,1,156,55
1160,2,2,1,145,33.51
972,2,2,1,122,40
1160,2,2,1,145,33.51
1090,2,2,1,137,31.48
1140,2,2,1,143,32.92
650,2,1,1,82,35
1155,2,2,1,145,57
1800,2,3,2,225,92
1300,2,2,1,163,28
1160,2,2,1,145,33.5
1025,2,2,1,129,29.6
829,2,2,1,104,22.8
2187.5,2,4,2,274,105
1252,2,2,1,157,67
1125,2,2,1,141,32.63
1140,2,2,1,143,34
1252,2,3,2,157,65
1135,2,2,1,142,46
1305,2,3,2,164,65
1165,2,2,1,146,33.64
1336,2,3,2,167,50.35
575,2,1,1,72,16.75
925,2,3,2,116,49.82
1065,2,2,1,134,30.76
1065,2,2,1,134,30.75
1140,2,2,1,143,33.06
911,2,2,1,114,26.5
1200,2,2,1,150,34.65
1031,2,2,1,129,54.48
1475,2,3,2,185,78.29
1490,2,3,2,187,78.8
1113.27,2,2,1,140,53
1490,2,3,2,187,84
1015,2,2,1,127,56
1515,2,3,2,190,80.91
995,2,2,1,125,46
1555,2,3,2,195,82
1340,2,2,1,168,75
1124,2,3,2,141,55
1175,2,2,1,147,57
755,2,1,1,95,42.41
580,2,1,1,73,27
940,2,2,1,118,49
1335,2,2,1,167,67
1113.12,2,2,1,140,55
1350,2,3,2,169,71
995,2,2,1,125,49.8
635,2,1,1,80,26
1190,2,2,1,149,68
1450,2,3,2,182,72.54
360,2,1,1,45,16.9
638,2,1,1,80,32
1175,2,2,1,147,64.98
585,2,1,1,74,21
1200,2,2,1,150,59.76
1145,2,2,1,144,54
1125,2,2,1,141,65
1550,2,3,2,194,82
865,2,2,1,109,40
1800,2,3,2,225,93
1314,2,2,1,165,60
1170,2,2,1,147,62
1450,2,3,2,182,79
940,2,2,1,118,48
940,2,2,1,118,44
1300,2,2,1,163,67
1028,2,2,1,129,51
1205,2,2,1,151,60
1305,2,2,1,164,67
755,2,1,1,95,30.12
1175,2,2,1,147,60
1700,2,3,2,213,180
1305,2,3,2,164,95.45
1870,2,3,2,234,185
1750,2,3,2,219,150
2000,2,3,2,250,200
3500,2,3,2,438,330
2350,2,3,2,294,285
1550,2,2,1,194,140
1900,2,3,2,238,145
2560,2,3,2,320,265
2400,2,3,2,300,260
2560,2,3,2,320,288
3436,2,4,2,430,341
1315,2,2,1,165,140
1706,2,3,2,214,154
2079,2,3,2,260,220
3435,2,4,2,430,341
3436,2,4,2,430,345
3100,2,3,2,388,400
5400,2,3,2,675,400
1180,2,2,1,148,105
2900,2,4,2,363,325
1870,2,3,2,234,180
896,2,1,1,112,100
1420,2,2,1,178,120
1820,2,3,2,228,86
1225,2,2,1,154,47
1140,2,2,1,143,48.95
1315,2,3,2,165,65
1315,2,3,2,165,65
1315,2,3,2,165,64
1735,2,3,2,217,70
1643,2,3,2,206,70
1325,2,3,2,166,60.8
1060,2,2,1,133,48.7
1150,2,2,1,144,52.75
1295,2,3,2,162,59.5
1320,2,3,2,165,60.6
1295,2,3,2,162,59.5
1150,2,2,1,144,52.8
1150,2,2,1,144,52.8
1060,2,2,1,133,48.5
1150,2,2,1,144,52.5
1325,2,3,2,166,60.8
1060,2,2,1,133,48.66
1150,2,2,1,144,52
1154,2,2,1,145,51.8
2400,2,4,2,300,400
1800,2,3,2,225,252
1350,2,3,2,169,240
2400,2,4,2,300,400
3000,2,6,3,375,375
2400,2,6,3,300,400
4000,2,4,2,500,750
861,2,2,1,108,34.5
1408,2,3,2,176,62
861,2,2,1,108,34.5
1318,2,3,2,165,54
861,2,2,1,108,36.5
1320,2,3,2,165,60
1345,2,3,2,169,60
1905,2,4,2,239,86
1318,2,3,2,165,56
1129,2,2,1,142,50
1100,2,2,1,138,40
967,2,2,1,121,45
1618,2,3,2,203,82.5
1222,2,2,1,153,63
1300,2,3,2,163,65
950,2,2,1,119,38
1153,2,2,1,145,48.5
812,2,1,1,102,26
1460,2,3,2,183,65
1500,2,3,2,188,70
1621,2,3,2,203,72
812,2,1,1,102,26
990,2,2,1,124,40
1235,2,2,1,155,63
1385,2,3,2,174,64
1000,2,2,1,125,35
1010,2,2,1,127,35
1435,2,3,2,180,62
945,2,2,1,119,45
2500,2,4,2,313,120
1230,2,3,2,154,52
1120,2,2,1,140,50
1500,2,3,2,188,63
1200,2,2,1,150,40
1280,2,2,1,160,61
1205,2,2,1,151,56.58
1170,2,2,1,147,40
3000,2,4,2,375,132
1613,2,3,2,202,72
1110,2,2,1,139,36.25
1245,2,2,1,156,59
1200,2,2,1,150,50
1670,2,3,2,209,120
3250,2,4,2,407,230
1776.42,2,3,2,223,105
3250,2,4,2,407,230
940,2,2,1,118,56.8
1075,2,2,1,135,60
1715,2,3,2,215,115
1751,2,3,2,219,115
1750,2,3,2,219,130
1530,2,3,2,192,105
1752,2,3,2,219,105
1680,2,3,2,210,95
1728,2,3,2,216,125
1645,2,3,2,206,110
1517,2,3,2,190,100
3150,2,4,2,394,218
1750,2,3,2,219,120
1751,2,3,2,219,115
1750,2,3,2,219,105
1885,2,3,2,236,135
1715,2,3,2,215,120
1623.29,2,3,2,203,105
1715,2,3,2,215,115
1715,2,3,2,215,105
1600,2,3,2,200,105
1717,2,3,2,215,125
1250,2,2,1,157,75
1715,2,3,2,215,112
1470,2,3,2,184,82
1745,2,3,2,219,104
1745,2,3,2,219,115
1745,2,3,2,219,110
1650,2,3,2,207,71
2570,2,5,3,322,141
1205,2,2,1,151,70
1435,2,3,2,180,80
1475,2,2,1,185,80
1100,2,2,1,138,49.5
1060,2,2,1,133,46
2000,2,3,2,250,125
1140,2,2,1,143,43
1356,2,3,2,170,66
1600,2,3,2,200,75
2000,2,4,2,250,95
1140,2,2,1,143,49.11
1195,2,2,1,150,44
1190,2,2,1,149,40
1457,2,2,1,183,60
1080,2,2,1,135,41
1175,2,2,1,147,43.48
1362,2,3,2,171,62.63
1071,2,2,1,134,51
1063,2,2,1,133,40
1235,2,2,1,155,52.76
1362,2,3,2,171,62.63
1362,2,3,2,171,62.63
1588,2,3,2,199,90
1235,2,2,1,155,44.5
1457,2,2,1,183,60
1490,2,3,2,187,300
600,2,2,1,75,145
2700,2,3,2,338,500
2040,2,5,3,255,500
2800,2,3,2,350,200
1722,2,3,2,216,95
1200,2,4,2,150,120
1200,2,2,1,150,60
1004,2,2,1,126,49
1783,2,3,2,223,125
1656,2,3,2,207,90
1089,2,2,1,137,60
1700,2,3,2,213,110
1198,2,2,1,150,65
1200,2,4,2,150,115
1200,2,2,1,150,120
1832,2,3,2,229,160
1374,2,2,1,172,95
1440,2,2,1,180,98
2800,2,3,2,350,250
1210,2,2,1,152,75
1265,2,2,1,159,78
1170,2,2,1,147,75
1900,2,4,2,238,90
1625,2,3,2,204,120
1301,2,2,1,163,120
1145,2,2,1,144,68.5
1300,2,2,1,163,90
1372,2,2,1,172,68
1475,2,3,2,185,75
1467,2,2,1,184,55
1140,2,2,1,143,46
1372,2,2,1,172,61
1750,2,3,2,219,95
1027,2,2,1,129,44
1650,2,3,2,207,110
1140,2,2,1,143,46
1372,2,2,1,172,61
1140,2,2,1,143,46
1185,2,2,1,149,60
1127,2,2,1,141,68
1600,2,3,2,200,115
1145,2,2,1,144,48
1009,2,2,1,127,56
1300,2,2,1,163,98
1140,2,2,1,143,46
